Node Label    RF	.Magnitude	RF.RF1	RF.RF2	RF.RF3	U.Magnitude	U.U1	U.U2	U.U3
208	0	0	0	0	27,0693	-2,16641	9,0003	-25,4371
209	0	0	0	0	26,8268	-2,1165	8,33192	-25,4122
210	0	0	0	0	26,6169	-2,05761	7,68353	-25,4005
211	0	0	0	0	26,4307	-1,99307	7,04919	-25,3952
212	0	0	0	0	26,274	-1,91959	6,43843	-25,4005
213	0	0	0	0	26,1456	-1,84535	5,84586	-25,4168
214	0	0	0	0	26,0289	-1,75057	5,24442	-25,4349
215	0	0	0	0	25,8909	-1,6879	4,73812	-25,3976
216	0	0	0	0	25,765	-1,61287	4,2143	-25,3668
217	0	0	0	0	25,6708	-1,52714	3,71824	-25,3542
218	0	0	0	0	25,5983	-1,43635	3,24383	-25,3513
219	0	0	0	0	25,5516	-1,33588	2,8007	-25,3624
220	0	0	0	0	25,5311	-1,23629	2,38349	-25,3895
221	0	0	0	0	25,5191	-1,11455	1,953	-25,4199
222	0	0	0	0	25,4536	-1,0243	1,64897	-25,3795
223	0	0	0	0	25,4012	-9,24E-01	1,3272	-25,3497
224	0	0	0	0	25,3746	-8,10E-01	1,03268	-25,3406
225	0	0	0	0	25,3735	-6,89E-01	7,79E-01	-25,3522
226	0	0	0	0	25,3979	-5,68E-01	5,54E-01	-25,3855
227	0	0	0	0	25,5345	-4,08E-01	8,21509	-24,1734
228	0	0	0	0	25,6415	-3,52E-01	15,3429	-20,5416
229	0	0	0	0	25,7413	-2,61E-01	20,9996	-14,8849
230	0	0	0	0	25,8244	-1,44E-01	24,6314	-7,75708
231	0	0	0	0	26,0594	-8,23E-03	26,0591	1,41E-01
232	0	0	0	0	26,2799	-3,78E-03	26,2795	1,41E-01
233	0	0	0	0	26,5371	2,72E-04	26,5367	1,45E-01
234	0	0	0	0	26,8304	4,11E-03	26,8301	1,43E-01
235	0	0	0	0	27,1568	7,80E-03	27,1565	1,43E-01
236	0	0	0	0	27,52	1,10E-02	27,5196	1,47E-01
237	0	0	0	0	27,8979	1,46E-02	27,8976	1,42E-01
238	0	0	0	0	28,3123	1,84E-02	28,312	1,39E-01
239	0	0	0	0	28,7553	2,17E-02	28,755	1,39E-01
240	0	0	0	0	29,2291	2,49E-02	29,2288	1,36E-01
241	0	0	0	0	29,7301	2,77E-02	29,7298	1,32E-01
242	0	0	0	0	30,2565	3,05E-02	30,2562	1,30E-01
243	0	0	0	0	30,8088	3,28E-02	30,8085	1,29E-01
244	0	0	0	0	31,3721	3,56E-02	31,3718	1,22E-01
